epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.915,1.1263,2.10154,1.19171,0.83518,0.8275,0.89345,0.64266,0.99056,1.86624,1.08583,0.000471663,0.000471663,0.000471663
2,508.182,1.1273,1.39832,1.19929,0.89914,0.898,0.93755,0.63669,1.11021,1.35173,1.12583,0.000924534,0.000924534,0.000924534
3,755.226,1.16503,1.26105,1.20671,0.93607,0.86157,0.95006,0.69669,1.0025,1.12625,1.12284,0.00135383,0.00135383,0.00135383
4,996.89,1.12118,1.13097,1.18278,0.90429,0.8988,0.93786,0.68807,0.97941,1.10207,1.09273,0.0013229,0.0013229,0.0013229
5,1238.23,1.10386,1.01832,1.17126,0.92529,0.8984,0.9652,0.68198,1.04541,1.01997,1.11002,0.00128753,0.00128753,0.00128753
6,1479.42,1.08871,0.90194,1.14937,0.94456,0.89406,0.95772,0.65561,1.07763,0.87649,1.13187,0.00125216,0.00125216,0.00125216
7,1720.65,1.05017,0.85532,1.13562,0.96169,0.94395,0.98291,0.74629,0.91862,0.71396,1.052,0.00121679,0.00121679,0.00121679
8,1961.63,1.03531,0.79968,1.13305,0.96645,0.92743,0.97726,0.73094,0.93203,0.70345,1.04999,0.00118143,0.00118143,0.00118143
9,2202.82,0.99746,0.7244,1.10509,0.94718,0.99006,0.98992,0.72041,0.90491,0.64894,1.0545,0.00114606,0.00114606,0.00114606
10,2443.99,0.987,0.70216,1.10727,0.9745,0.99373,0.99338,0.74993,0.90345,0.53566,1.02574,0.00111069,0.00111069,0.00111069
11,2685.25,0.96994,0.6882,1.1088,0.97841,0.9911,0.99076,0.76365,0.85474,0.53265,1.00897,0.00107532,0.00107532,0.00107532
12,2926.45,0.97546,0.65891,1.10484,0.9437,0.95571,0.98201,0.74769,0.8882,0.56252,1.02641,0.00103995,0.00103995,0.00103995
13,3167.88,0.93691,0.62565,1.07669,0.96766,0.97518,0.9817,0.76625,0.87981,0.5278,1.03708,0.00100459,0.00100459,0.00100459
14,3409.22,0.93739,0.63836,1.08216,0.96717,0.97068,0.9862,0.7655,0.84869,0.5292,1.01,0.000969219,0.000969219,0.000969219
15,3650.69,0.93403,0.60982,1.08273,0.98461,0.97561,0.98746,0.76573,0.8496,0.50337,1.02327,0.000933851,0.000933851,0.000933851
16,3892.01,0.89332,0.58114,1.05429,0.97232,0.97408,0.98731,0.77852,0.80621,0.45874,0.98495,0.000898484,0.000898484,0.000898484
17,4133.51,0.91657,0.57875,1.07853,0.98533,0.9932,0.99149,0.77276,0.85797,0.46863,1.01801,0.000863116,0.000863116,0.000863116
18,4375.1,0.891,0.565,1.06124,0.98481,0.98877,0.9904,0.79082,0.81927,0.45237,0.99451,0.000827748,0.000827748,0.000827748
19,4616.5,0.89411,0.54871,1.06604,0.98783,0.98848,0.99348,0.76843,0.89075,0.45426,1.04533,0.00079238,0.00079238,0.00079238
20,4857.61,0.87497,0.54619,1.06082,0.94669,0.99226,0.98832,0.76951,0.81804,0.47484,0.99225,0.000757013,0.000757013,0.000757013
21,5098.51,0.874,0.53055,1.05321,0.98205,0.99857,0.98957,0.787,0.80219,0.42266,0.9797,0.000721645,0.000721645,0.000721645
22,5339.95,0.85487,0.52317,1.04835,0.97266,0.99284,0.98862,0.78454,0.77639,0.43211,0.98658,0.000686277,0.000686277,0.000686277
23,5581.64,0.83651,0.51118,1.03438,0.95605,0.98949,0.98626,0.7905,0.76708,0.42715,0.9714,0.000650909,0.000650909,0.000650909
24,5823.96,0.83456,0.50895,1.03676,0.97283,0.98516,0.99191,0.7877,0.78766,0.43286,0.98442,0.000615542,0.000615542,0.000615542
25,6071.78,0.82707,0.494,1.03358,0.9729,0.99736,0.99299,0.80613,0.78223,0.39761,0.97677,0.000580174,0.000580174,0.000580174
26,6323.69,0.82006,0.497,1.02522,0.96944,0.98552,0.99106,0.78123,0.80989,0.41143,0.99762,0.000544806,0.000544806,0.000544806
27,6567.99,0.79996,0.4871,1.01423,0.97379,0.99824,0.99266,0.79321,0.78522,0.38958,0.97764,0.000509438,0.000509438,0.000509438
28,6821.27,0.79727,0.4749,1.01536,0.99179,0.98682,0.99101,0.80535,0.76842,0.40437,0.96694,0.000474071,0.000474071,0.000474071
29,7073.58,0.78683,0.46553,1.00224,0.98469,0.99222,0.99175,0.78568,0.77193,0.39057,0.9784,0.000438703,0.000438703,0.000438703
30,7319.05,0.77536,0.44635,1.00777,0.98368,0.98698,0.99209,0.80017,0.77415,0.382,0.97517,0.000403335,0.000403335,0.000403335
